name,roll_length
"BodyFence Black 1,52",185
"BodyFence M, X Matt, X Satin",185
"BodyFence Wide 1,83",210
"G-Suit",190
"Hybrid Black",170
"LUXFIL   TPU  C1",185
"Luxfil ClearShield",190
"Luxfil ClearShield Hard",190
"Luxfil ClearShield Light",190
"Luxfil Matt = Mapro",185
"Luxfil PPF  Hydrophobic 3M Glue 7,5ml",190
"Luxfil PPF Generation 1 TPU-S 7,5ml",190
"Luxfil PPF Generation 2 TPU-SW 7,5ml",190
"Luxfil PPF Generation 3 TPU-SS 7,5ml",190
"LUXFIL PPF TPH GLOSS",185
"LUXFIL PPF TPH MATTE",185
"LUXFIL PPF TPU GLOSS A",185
"LUXFIL PPF TPU GLOSS S",160
"LUXFIL PPF TPU GLOSS SS",160
"LUXFIL PPF TPU MATTE",185
"Luxfil Proffesional = Mapro",150
"LUXFIL SAFETY 12  light",300
"LUXFIL SAFETY 12 (1,83)  light",300
"LUXFIL SAFETY 4  light",100
"LUXFIL SAFETY 4 (1,83)  light",100
"LUXFIL SAFETY 8  light",200
"LUXFIL SAFETY 8 (1,83)  light",200
"LLumar Matt",214
"Mono PPF Matte",185
"Mono TPU Black Gloss",185
"MONO TPU Black Satin",185
"MONO TPU Satin",185
"LLumar N 1020 SR PS 4",100
"Nexfil PPF Clear",185
"LLumar PPF 11.5MIL CLEAR CAP",300
"LLumar PPF GLOSS",214
"Premium",210
"Premium Matte",210
"RAN   H",190
"RAN  M",190
"RAN  T",190
"LLumar S CL SR PS 4 (1,524)",100
"LLumar S CL SR PS 4 (1,83)",100
"LLumar S CL SR PS 8 (1,52)",200
"LLumar S CL SR PS 8 (1,83)",200
"LLumar S SI 20 SR PS 4",100
"LLumar SA 05 CH SR PS 4",100
"LLumar SA 15 CH SR PS 4",100
"LLumar SA 35 CH SR PS 4",100
"LLumar SA 50 CH SR PS 4",100
"Satin",200
"LLumar Valor",214
"Xside",200
